z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,PT
1.356095151,-0.256958181,-0.951120068,-0.892328172,-0.409012753,-0.331935748,-0.885488334,-1.3536066,0.67769465,0.24293005,0.331511148,0.17962163,-0.662738835,-0.673807548,0.449911938,0.171943932,0.456622315,0.129838169,-0.246495943,-1.062271809,0
2.891330819,2.01071394,2.879847822,2.677068704,-0.464716972,-0.587726057,-0.533342809,1.771095322,1.271292054,1.056206187,-1.513506211,1.134646972,0.08212393,1.010331794,0.692708255,1.048277818,0.219337109,-0.04116711,0.010284739,-0.223679984,1
-0.732418858,1.620095976,2.011584692,2.527561637,-0.664442185,3.268385568,1.92266511,-1.965910378,1.618634656,2.320541507,-1.547088278,-2.92246896,0.093311366,-0.966338734,-0.025865881,-1.367150388,0.426263237,0.50697328,0.632087349,0.792642226,0
-0.953019228,2.9841903,1.113972374,-3.980131156,-0.650166572,-0.679299093,0.355612199,-1.562400488,0.367185632,-2.501373747,-0.366328886,-1.548391138,2.325233653,-1.627997986,-0.095635548,0.691287081,0.113492172,0.469850446,-0.241867818,-1.459524324,1
-3.502696849,-2.724628257,1.843594218,0.912217805,-0.478583551,2.972914828,-1.101150128,-0.881638876,1.763215942,-0.874172705,2.823210591,-1.642172368,-0.606152231,1.117272963,1.058114728,-0.76595085,0.605531049,-0.765888726,-1.658763925,0.436750884,0
-0.033018325,0.785660623,-0.912910481,0.258871676,0.567297858,-1.273426917,0.551181885,0.427346412,0.932490484,-0.806681773,0.129699764,0.086005278,0.271505115,-0.719000555,0.884074256,0.521353441,-0.137869159,1.343963038,-0.246388907,0.657609506,0
0.355988616,1.013200849,1.625034116,0.488775129,-0.475069254,0.743898264,0.395665845,-0.800971891,1.835353222,0.061602771,-1.536292161,-2.211091704,-0.218843749,-0.125601928,1.495817794,-0.056770876,-0.633531399,0.948142834,-0.105167414,0.229488027,1
-0.072269376,0.362196462,-1.257668813,0.723310199,-0.625745311,1.040532236,-1.406218743,-0.302608651,0.287296037,-0.342378114,0.752012942,0.130132886,-0.100082759,-0.286193579,-0.053697149,-0.22030011,0.246532322,-0.145399155,-0.367263486,-0.330973877,0
3.182575536,1.521272267,1.26282812,1.1616891,0.546382028,-0.012566833,-1.337399555,0.884050327,1.538447935,0.443610038,0.041454827,0.551916364,-0.470105234,0.211102962,0.619073662,-0.199835714,-0.423058411,0.932123902,0.670847365,-0.025332978,1
1.093270487,0.609686617,1.739129928,1.543433993,0.701762482,-0.91109337,0.419151815,1.289397894,0.64324662,-0.292377043,-0.94503736,0.723290885,-1.48288552,-0.073411465,1.587847214,-1.766971314,1.246634938,0.344403451,-0.175498652,-0.260020738,0
-0.460886573,2.500390693,1.587397289,-1.564058628,0.526079826,2.151418624,2.913719403,1.23601295,0.9484447,0.26523729,-0.906319554,1.081112192,2.235850374,-0.306232593,0.684488093,0.176480108,1.626421794,0.598023784,0.778891291,1.061155509,1
3.753367408,2.80199098,2.755017504,-0.758795151,2.310916263,1.117829998,0.113965301,0.138293855,0.468820284,0.20817555,0.089260818,0.107622799,-2.108168492,-0.258681418,-0.400163425,0.574763757,-1.758480457,-0.993987631,0.886796449,-1.247506666,1
-2.703303827,-1.748918023,0.734044859,-0.285558086,-0.512456445,-0.995934342,1.397897887,0.455196619,-0.343093854,-0.993176265,-1.639159886,0.1779517,-0.333877778,0.008700117,-0.451671138,0.142817054,-0.520908995,-0.273580984,-0.733983203,0.153354695,1
-2.128937735,-2.689156041,-0.342816952,-1.278923658,1.537185486,-1.139693328,-0.941178983,1.296116434,-1.633877122,-0.567069199,-1.492120762,1.054034204,-0.467806468,-1.920378217,1.623873101,-0.710858797,0.375533231,1.014739123,-0.562896819,0.69881838,1
-0.84009552,0.018331235,0.45501811,-0.037346597,1.56751863,1.887264185,-1.133063369,1.408708558,0.40308763,0.417047264,-0.05579262,0.198781419,-0.233635381,-0.116322621,-0.682438079,1.173715902,-0.444560626,-0.16801332,0.279599062,0.057774023,1
-3.143378935,-1.99492681,1.167133595,0.560176562,1.056996741,0.2722576,0.618604048,0.240051599,0.16355195,0.628925555,0.722030662,-0.719050974,-0.170945532,0.523798951,-1.16846758,0.396610382,-0.022932486,-0.280332919,-0.316661389,0.066772321,1
-1.44515447,0.700234901,1.465959483,0.662638181,-0.283104914,1.746067256,0.962415839,-0.195787174,1.186425678,-0.176174484,-1.062869766,-2.216477025,0.209201296,-0.101142246,-0.785228579,-0.330242485,0.562123829,0.266372666,0.356318938,-0.358267965,1
-0.123969829,2.787147723,-0.841518438,0.52301125,2.042257369,0.312808099,0.265465968,0.955135362,-0.918289855,0.477722306,0.55044638,-0.303475176,0.37386842,1.467396812,0.665817326,0.694894687,-1.275027987,-0.503042415,0.326374423,1.126057258,1
-1.370247737,1.305156219,0.162389833,-0.89164762,0.674480215,-1.195831531,-0.045999226,-1.272520609,-1.471207888,-1.954369156,0.432088928,-0.923180121,-0.15537069,-0.062693361,0.079825645,0.250463848,-0.86390256,0.505054404,0.011459323,0.024563861,1
4.194737896,-0.872346897,-1.138609221,1.119363528,0.542128292,2.149717481,-0.60142639,-0.431045326,-0.394742442,-0.727645904,-0.028689866,0.905417259,0.918011055,-1.639114421,-0.598366935,-1.233743099,-0.116465379,-1.115993777,-0.754933253,-1.131695258,0
1.768101,2.268401541,0.766223971,1.637990098,1.3853041,0.410293733,0.137840017,0.151085222,0.101489625,-0.229354658,-0.290170553,0.331809185,-1.301701402,0.68232959,0.426849227,-0.042668732,-1.628437264,-0.025360171,-0.451455267,0.028551225,1
-0.555813016,0.966047912,0.365279092,1.731600583,-1.406055109,0.033533865,0.971198934,0.559968612,-0.083006324,-0.083865165,-0.381183209,1.007300716,-0.96808194,-0.16032161,-0.518189617,-0.735537642,-0.760474041,-0.503660806,-0.488208805,1.366537624,1
-1.601403305,-1.931640165,2.368994546,0.541646539,1.017109446,-1.15703419,1.15304475,1.767067709,-2.15352279,-0.173282667,-0.427709598,1.074138731,-0.532053619,-0.22366539,1.142810907,-1.892095311,1.315278092,0.055717706,0.060990063,-1.23701361,0
1.834024483,-1.622870606,0.580322453,0.18803876,1.049090563,-0.219988113,0.117554094,-0.127593895,-1.189538983,-0.393061696,-1.220482566,0.700737438,-0.134947839,-0.782872829,1.052872781,-0.22657212,-1.38760485,0.942906253,-1.043175722,-0.231465327,1
1.450558357,0.021045234,-0.524803321,-0.424890487,0.781474744,0.285610637,-0.993496967,0.708058373,0.215972379,-2.364524874,-0.695152767,-0.069157392,-1.001146166,-1.162580868,-0.796118407,0.291585721,0.478270015,-0.280959115,-1.019959803,-0.538125973,1
-0.552134135,-1.082360491,-1.338242956,0.652944613,0.448744965,0.406165548,-1.0680064,0.124647853,-0.249682062,-0.2471557,1.166548147,-0.600090504,0.202900197,-0.007036005,0.545383658,0.974979243,-0.066845493,-0.90362623,-0.734726695,0.151673814,1
1.487469218,2.858150089,-0.241494175,1.745548918,0.838530104,0.221768435,0.457724358,-0.518287256,0.432835055,0.725830083,-0.140702066,-0.293933938,-0.471926224,-0.158020252,0.814611838,0.141274973,-0.899574536,0.150551605,-0.987544802,1.740917322,0
-0.97357407,1.047937639,-0.437494826,-0.60753386,-0.646604401,0.02665761,-1.486289829,0.035595153,-1.279945608,-0.403662069,-1.283480191,-0.538462199,-0.097709817,0.548085879,0.667815724,0.992221239,0.172902981,-0.416764078,-0.10268608,-0.292134515,1
-2.025695735,-0.882919445,1.323968682,-0.223006127,-0.444763647,-1.178357638,1.16965723,-1.465594373,-0.962616011,-0.838604491,-0.894147048,0.408032117,1.706441716,0.188042474,0.299429637,-1.042056992,-0.799917341,0.310777136,0.001905607,-0.426102918,1
-0.455264707,1.412427599,-1.68138052,1.095228664,-0.306497006,-0.187484549,0.802133321,0.171036298,-0.036911658,0.254732289,1.212524485,0.52540402,0.456531283,-1.503827554,-0.513602211,0.443333419,0.384888593,0.316176803,-0.038503136,0.722749388,0
-0.127472018,-0.653393538,0.465650844,-0.20789439,0.092957955,0.729518606,1.699699125,-2.179425912,-0.586783281,-0.260358624,-0.413373202,-1.059591839,-0.320624239,-0.908641624,0.148749932,0.238620774,0.344712629,0.452782963,1.718009128,-0.522017449,1
-3.274740819,-1.224169556,1.606813707,0.645022745,-0.197491653,-0.136846613,1.293871895,0.659145902,-0.386561749,0.838881144,-0.360701085,1.197332171,-0.007583353,0.175274416,-0.907562539,0.363319845,-0.144919448,-0.447411845,-0.467503776,0.47030046,1
0.42296742,2.199435559,-0.306006081,0.940941477,-0.288511262,0.501127253,-0.107724889,-0.069732964,-1.002047791,0.538406127,1.600817201,0.358490909,-0.330859722,-0.815476619,-1.455789324,-0.370199874,0.132365518,-0.338542328,0.372927789,0.318630051,0
0.33038949,0.729398946,-0.19595265,2.043544259,0.106074528,-0.483396579,0.159865807,0.212052895,-0.212546383,0.026811462,1.154271563,1.092922777,0.133289222,-0.409251095,0.443970261,0.22892427,1.007546166,0.04829246,-1.032944519,-0.328256765,0
-2.460761834,-1.308449498,0.780111838,1.789924542,1.296860568,0.69638124,-0.009617676,0.760037716,-1.591026992,1.257697464,0.207814688,-0.229260636,0.226725434,-0.534780265,-0.364710704,1.184030552,0.923855743,-0.076869699,0.23204676,-0.989576411,0
-2.080626553,0.366468134,-0.425824086,1.288052012,0.457208529,0.520526298,0.373404803,0.700164337,-0.142626746,-0.649935491,0.003541997,-0.393926434,-0.587512007,-0.601919149,-1.134701933,0.889928907,0.221848767,-0.245081743,-0.598151867,0.146353971,1
-1.50058211,0.130859708,0.101424351,-0.640291566,-0.06796118,0.082891703,-0.651281813,-0.848607096,0.510323175,-0.749378069,-0.824763632,-0.858346964,-0.250510328,-0.200701645,-0.31582422,0.185012492,-0.085112996,-0.041329624,0.482875784,-0.472191141,1
0.902962573,-0.77941703,0.372784026,1.401493735,0.653442899,-0.739651383,0.300979604,0.365719885,0.286638838,0.053459053,-0.798106326,0.009351464,-0.551267098,0.043465318,1.839352545,-0.052063666,-0.256904536,0.060414996,-0.414969111,0.491253734,0
